50 Maiores Bancos e o Consolidado do Sistema Financeiro Nacional
ATIVOS
Data-base: Dezembro/1994;;;;;;;;;;;;;;;Balancetes processados até: 31/08/2005

;;;;;;;;;;;;;;;;Em R$ Mil
ATIVOS
Ranking;Instituições;TD;TC;Obs.;Data;Ativo;Disponibilidades;Aplicações;TVM e Instrumentos;Relações;Relações;Oper. Créd. e Arrend. Mercantil;;Outros;Outros;Imobilizado de;Permanente
;;;;;Balancete;Total;;Interfinanceiras;Financeiros Derivativos;Interfinanceiras;Interdependências;Total;Provisão p/ CL;Créditos;Valores e Bens;Arrendamento;(*)
1   ;BB                                                    ;I;1  ;2        ;12/1994;64.609.935;4.021.626;7.862.192;4.752.401;3.413.166;233.703;28.889.869;-159.667;7.849.548;85.401;0;7.661.696;
2   ;CEF                                                   ;I;1  ;         ;12/1994;52.941.657;50.391;1.255.144;6.813.430;6.332.199;349.911;29.549.888;-123.441;3.251.572;1.507.440;0;3.955.123;
3   ;BANESPA                                               ;I;2  ;2        ;12/1994;25.935.301;741.275;1.656.050;9.214.586;488.992;7.955;11.909.867;-208.008;690.565;57.379;4.953;1.371.686;
4   ;BRADESCO                                              ;I;3  ;2        ;12/1994;18.341.244;575.989;720.790;1.529.760;3.285.616;11.491;7.474.975;-161.309;1.565.076;14.135;25.269;3.263.737;
5   ;ITAU                                                  ;I;3  ;2        ;12/1994;13.763.029;997.284;1.009.863;735.044;2.371.553;6.633;5.212.803;-37.857;1.043.898;31.446;0;2.374.015;
6   ;BAMERINDUS                                            ;I;3  ;2        ;12/1994;11.849.654;210.231;1.167.932;1.131.055;1.710.622;3.124;5.125.593;-8.834;1.272.931;32.812;57.757;1.146.422;
7   ;UNIBANCO                                              ;I;5  ;2        ;12/1994;10.134.063;625.221;903.672;1.423.836;782.527;4.666;4.475.333;-73.163;1.006.896;14.266;15.240;952.247;
8   ;SAFRA                                                 ;I;3  ;2        ;12/1994;6.018.190;49.304;1.295.341;1.436.242;199.789;1.108;1.985.997;-46.168;813.400;4.111;0;279.067;
9   ;NOSSA CAIXA                                           ;I;2  ;         ;12/1994;5.919.110;8.174;29.432;1.095.405;731.144;3.254;3.622.321;-8.671;217.609;18.337;57;202.042;
10  ;REAL                                                  ;I;3  ;2        ;12/1994;5.880.992;136.166;767.088;1.203.020;411.354;53.233;1.579.462;-13.443;1.242.952;9.326;0;491.832;
11  ;BCN                                                   ;I;3  ;2        ;12/1994;6.695.957;8.006;3.098.804;910.837;231.432;0;1.240.841;-7.419;682.072;3.542;0;494.171;
12  ;CREDIREAL                                             ;I;2  ;2        ;12/1994;5.085.149;9.505;103.696;4.314.469;55.468;2.541;333.144;-450;163.611;11.909;0;91.256;
13  ;BANRISUL                                              ;I;2  ;2        ;12/1994;3.988.630;23.665;306.616;2.255.038;203.283;1.982;970.226;-1.633;57.017;4.506;0;167.930;
14  ;BANERJ                                                ;I;2  ;2        ;12/1994;3.862.124;45.885;14.591;2.003.320;331.898;15.905;601.471;-1.262;658.549;49.431;20;141.923;
15  ;BNB                                                   ;I;1  ;         ;12/1994;3.811.309;2.760;66.875;112.928;150.090;2;3.070.997;-27.893;274.216;2.773;0;158.560;
