"tipo_instituicao";"cod_inst";"ano_mes";"nome_relatorio";"numero_relatorio";"grupo";"conta";"nome_coluna";"descricao_coluna";"saldo"
"2";"00058338";"201409";"Resumo";"1";"null";"78182";"Ativo Total";"[10000007] + [20000004]";"2472007,93"
"2";"00058338";"201409";"Resumo";"1";"null";"78183";"Carteira de Crédito Classificada";"[31000000]";"951178,22"
"2";"00058338";"201409";"Resumo";"1";"null";"78184";"Passivo Circulante e Exigível a Longo Prazo e Resultados de Exercícios Futuros";"[40000008] + [50000005]";"2255052,91"
"2";"00058338";"201409";"Resumo";"1";"null";"78185";"Captações";"[41000007] + [42000006] + [43000005] + [46000002]";"2166168,38"
"2";"00058338";"201409";"Resumo";"1";"null";"78186";"Patrimônio Líquido";"[60000002] + [70000009]+ [80000006]";"216955,02"
"2";"00058338";"201409";"Resumo";"1";"null";"78187";"Lucro Líquido";"[70000009]+[80000006]-[81955002]";"-49782,85"
"2";"00058338";"201409";"Resumo";"1";"null";"79649";"Patrimônio de Referência para Comparação com o RWA";"Montante de capital regulatório formado pela soma das parcelas de Capital Nível I e Capital Nível II";"-2409,64"
"2";"00058338";"201409";"Resumo";"1";"null";"79662";"Índice de Imobilização";"Relação entre Ativo Permanente e Patrimônio de Referência";"35,8351371989177"
"2";"00058338";"201409";"Resumo";"1";"null";"79664";"Índice de Basileia";"Relação entre o Patrimônio de Referência e os Ativos ponderados pelo risco";"-0,00156471721004643"
"2";"00068389";"201409";"Resumo";"1";"null";"78182";"Ativo Total";"[10000007] + [20000004]";"19461757,02"
"2";"00068389";"201409";"Resumo";"1";"null";"78183";"Carteira de Crédito Classificada";"[31000000]";"11935554,68"
"2";"00068389";"201409";"Resumo";"1";"null";"78184";"Passivo Circulante e Exigível a Longo Prazo e Resultados de Exercícios Futuros";"[40000008] + [50000005]";"12395694,51"
"2";"00068389";"201409";"Resumo";"1";"null";"78185";"Captações";"[41000007] + [42000006] + [43000005] + [46000002]";"11555576,61"
"2";"00068389";"201409";"Resumo";"1";"null";"78186";"Patrimônio Líquido";"[60000002] + [70000009]+ [80000006]";"7066062,51"
"2";"00068389";"201409";"Resumo";"1";"null";"78187";"Lucro Líquido";"[70000009]+[80000006]-[81955002]";"302062,19"
