Id;NomeIf;Segmento;Cnpj;DataInicioRegime;DataFimRegime;TipoRegime;Situacao;Uf
821;A IDEAL PROMOTORA DE VENDAS LTDA;Outras Empresas;43335645000198;1976-12-06;1977-12-05;Intervenção;Encerrado (Artigo 31 da Lei 6.024/74.);SP
822;A IDEAL PROMOTORA DE VENDAS LTDA;Outras Empresas;43335645000198;1977-12-05;1980-10-07;Liquidação extrajudicial;Encerrado (Artigo 31 da Lei 6.024/74.);SP
994;A IDEAL S.A. CREDITO, FINANCIAMENTO E INVESTIMENTOS;Sociedade de Crédito, Financiamento e Investimento;61562435000114;1976-12-06;1977-12-05;Intervenção;Encerrado (Apresentação de garantias e prosseguimento das atividades.);SP
1.842;A IDEAL S.A. CREDITO, FINANCIAMENTO E INVESTIMENTOS;Sociedade de Crédito, Financiamento e Investimento;61562435000114;1977-12-05;1988-05-16;Liquidação extrajudicial;Encerrado (Apresentação de garantias e prosseguimento das atividades.);SP
602;ABONO DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA;Sociedade Distribuidora de TVM;29959251000180;1992-11-04;1993-07-21;Liquidação extrajudicial;Encerrado (Falência.);SP
485;ACAUA ADMINISTRADORA DE CONSORCIO S.C. LTDA;Administradora de Consórcio;15939432000130;2002-11-28;2004-03-18;Liquidação extrajudicial;Encerrado (Falência.);SP
100.380;ACERTE ADMINISTRADORA DE CONSÓRCIOS LTDA.;Administradora de Consórcio;91984633000137;2020-11-12;2021-08-26;Liquidação extrajudicial;Encerrado (Falência.);RS
575;ADEC ADMINISTRADORA ESPIRITOSSANTENSE DE CONSORCIOS LTDA;Administradora de Consórcio;27314129000120;2002-08-01;2004-05-13;Liquidação extrajudicial;Encerrado (Falência.);ES
856;ADEME ADMINISTRADORA DE CONSORCIOS S.C. LTDA;Administradora de Consórcio;47777941000108;1993-10-13;1994-12-06;Liquidação extrajudicial;Encerrado (Falência.);SP
922;ADEMPAR S.A. - CREDITO, FINANCIAMENTO E INVESTIMENTOS;Sociedade de Crédito, Financiamento e Investimento;58171927000174;1980-05-29;1985-12-19;Liquidação extrajudicial;Encerrado (Apresentação de garantias e prosseguimento das atividades.);SP
1.073;ADEMPAR S.A. - DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS;Sociedade Distribuidora de TVM;62348032000130;1980-05-29;1981-11-23;Liquidação extrajudicial;Encerrado (Aprovação de contas e baixa no registro público.);SP
945;ADMINISTRADORA DE BENS BELENENSE LTDA S.C.;Administradora de Consórcio;60473394000127;1994-12-15;1996-03-12;Liquidação extrajudicial;Encerrado (Falência.);SP
366;ADMINISTRADORA DE CONSORCIO ALBUQUERQUE S.C. LTDA;Administradora de Consórcio;01230473000148;2002-08-01;2003-09-02;Liquidação extrajudicial;Encerrado (Falência.);GO
596;ADMINISTRADORA DE CONSORCIO ELDORADO LTDA;Administradora de Consórcio;29225166000198;2003-02-26;2008-03-19;Liquidação extrajudicial;Encerrado (Falência.);RJ
428;ADMINISTRADORA DE CONSORCIO NORDESTE S.C. LTDA;Administradora de Consórcio;08391377000120;1994-03-25;1996-06-24;Liquidação extrajudicial;Encerrado (Falência.);RN
1.175;ADMINISTRADORA DE CONSORCIOS CAXIENSE LTDA;Administradora de Consórcio;89567929000100;1996-05-28;1997-05-20;Liquidação extrajudicial;Encerrado (Falência.);RS
1.431;ADMINISTRADORA DE CONSORCIOS CURITIBA S.C. LTDA.;Administradora de Consórcio;68707173000188;2005-03-11;2006-06-14;Liquidação extrajudicial;Encerrado (Falência.);PR
1.133;ADMINISTRADORA DE CONSORCIOS VARASCHIN S.C. LTDA;Administradora de Consórcio;78243441000101;2001-09-13;2004-10-27;Liquidação extrajudicial;Encerrado (Falência.);PR
100.448;ADMINISTRADORA DE CONSÓRCIO NACIONAL VALOR S.A.;Administradora de Consórcio;03765340000100;2023-02-15;null;Liquidação extrajudicial;Ativo;RJ
599;ADMINISTRADORA ITAUTO LTDA;Administradora de Consórcio;29644390000114;1992-12-04;1994-01-21;Liquidação extrajudicial;Encerrado (Apresentação de garantias e prosseguimento das atividades.);RJ
653;ADMINISTRADORA PRINCE S.A.;Administr. e Participacao;33170044000119;1975-03-25;1976-03-15;Intervenção;Encerrado (Apresentação de garantias e prosseguimento das atividades.);RJ
654;ADMINISTRADORA PRINCE S.A.;Administr. e Participacao;33170044000119;1976-03-15;1980-06-18;Liquidação extrajudicial;Encerrado (Apresentação de garantias e prosseguimento das atividades.);RJ
1.169;ADMINISTRADORA TRILHO OTERO LTDA;Administradora de Consórcio;88390166000102;2002-02-07;2003-11-21;Liquidação extrajudicial;Encerrado (Falência.);RS
525;ADMINISTRADORA UBAENSE DE CONSORCIOS LTDA;Administradora de Consórcio;17989104000173;1995-07-10;1997-06-04;Liquidação extrajudicial;Encerrado (Falência.);MG
785;ADOLPHO OLIVEIRA & ASSOCIADOS CORRETORA DE VALORES E CAMBIO S.A.;Sociedade Corretora de TVM;35937283000187;1994-11-14;1997-03-14;Liquidação extrajudicial;Encerrado (Aprovação de contas e baixa no registro público.);RJ
1.040;ADOLPHO OLIVEIRA & ASSOCIADOS DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS S.A;Sociedade Distribuidora de TVM;62179106000151;1994-11-14;1997-03-14;Liquidação extrajudicial;Encerrado (Aprovação de contas e baixa no registro público.);RJ
458;ADVANCE - VIGILANCIA E TRANSPORTE DE VALORES S.A.;Outras Empresas;11564523000187;1996-05-24;1996-08-27;Intervenção;Encerrado (Apresentação de garantias e prosseguimento das atividades.);PE
100.560;ADVANCED CORRETORA DE CÂMBIO LTDA;Sociedade Corretora de Câmbio;92856905000186;2026-01-15;null;Liquidação extrajudicial;Ativo;SP
529;AF ADMINISTRADORA DE CONSORCIO LTDA;Administradora de Consórcio;20116463000120;1995-04-05;2007-12-04;Liquidação extrajudicial;Encerrado (Falência.);MG
1.701;AGENTE ASSESSORIA E PLANEJ. EM CAMBIO, COM. EXT., FINANCAS E COMUNICACOES LTDA.;Outras Empresas;59485151000120;2009-01-09;2010-08-19;Liquidação extrajudicial;Encerrado (Falência.);SP
1.700;AGENTE BR SOCIEDADE CORRETORA DE CÂMBIO LTDA.;Sociedade Corretora de Câmbio;66595083000117;2009-01-09;2010-08-19;Liquidação extrajudicial;Encerrado (Falência.);SP
100.147;AGRABEN ADMINISTRADORA DE CONSÓRCIOS LTDA.;Administradora de Consórcio;69273308000107;2016-02-05;2019-02-27;Liquidação extrajudicial;Encerrado (Convolação em liquidação ordinária.);SP
531;AGRIMISA DISTRIBUIDORA - TITULOS E VALORES MOBILIARIOS S.A.;Sociedade Distribuidora de TVM;20155420000154;1995-04-12;2004-03-18;Liquidação extrajudicial;Encerrado (Convolação em liquidação ordinária.);MG
368;AGROBANCO BANCO COMERCIAL S.A.;Banco Comercial;01542356000110;1988-07-29;1990-02-22;Liquidação extrajudicial;Encerrado (Convolação em liquidação ordinária.);GO
360;AGROBANCO CORRETORA DE VALORES MOBILIARIOS E CAMBIO S.A.;Sociedade Corretora de TVM;00397331000107;1988-07-29;1990-02-22;Liquidação extrajudicial;Encerrado (Convolação em liquidação ordinária.);DF
373;AGRODADOS PROCESSAMENTO E SERVICOS GERAIS LTDA;Outras Empresas;02684413000168;1988-07-29;1990-02-22;Liquidação extrajudicial;Encerrado (Aprovação de contas e baixa no registro público.);GO
378;AGROPECUARIA SAO JOSE DO QUEBO S.A.;Outras Empresas;03470424000108;1975-03-25;1976-03-15;Intervenção;Encerrado (Cessação da intervenção.);MT
100.040;AJB CRED SOCIEDADE DE CRÉDITO AO MICROEMPREENDEDOR E À EMPRESA DE PEQUENO PORTE LTDA.;Sociedade de Crédito ao Microempreendedor;10494944000116;2014-07-25;2015-12-15;Liquidação extrajudicial;Encerrado (Aprovação de contas e baixa no registro público.);SC
100.343;ALBATROSS CORRETORA DE CAMBIO E VALORES S.A;Sociedade Corretora de TVM;05452073000138;2019-10-23;2020-09-02;Liquidação extrajudicial;Encerrado (Convolação em liquidação ordinária.);SP
1.005;ALBENS S.A. - EMPREENDIMENTOS COMERCIAIS E INDUSTRIAIS;Outras Empresas;61854782000110;1977-04-19;1980-05-21;Liquidação extrajudicial;Encerrado (Artigo 31 da Lei 6.024/74.);SP
1.054;ALIANCA DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA;Sociedade Distribuidora de TVM;62255880000102;1987-07-20;1990-03-13;Liquidação extrajudicial;Encerrado (Convolação em liquidação ordinária.);SP
707;ALMEIDA E SILVA S.A. CORRETORA DE TITULOS E VALORES MOBILIARIOS;Sociedade Corretora de TVM;33739491000146;1984-03-13;1986-08-12;Liquidação extrajudicial;Encerrado (Convolação em liquidação ordinária.);RJ
100.200;ALPES CORRETORA DE CÂMBIO, TITULOS E VALORES MOBILIÁRIOS LTDA;Sociedade Corretora de TVM;03882245000188;2017-07-05;2018-09-19;Liquidação extrajudicial;Encerrado (Falência.);SP
