cod_inst;ano_mes;Ativo | Aplicações Interfinanceiras de Liquidez - (b);Ativo | Arrendamento Mercantil Líquido de Provisão - (e);Ativo | Arrendamento Mercantil a Receber - (e1);Ativo | Ativo Total - (k) = (i) - (j);Ativo | Ativo Total Ajustado - (i) = (a) + (b) + (c) + (d) + (e) + (f) + (g) + (h);Ativo | Credores por Antecipação de Valor Residual - (e3);Ativo | Credores por Antecipação de Valor Residual - (j);Ativo | Disponibilidades - (a);Ativo | Imobilizado de Arrendamento - (e2);Ativo | Operações de Crédito - (d1);Ativo | Operações de Crédito Líquidas de Provisão - (d);Ativo | Outros Ativos Realizáveis - (g);Ativo | Outros Créditos - Líquido de Provisão - (f);Ativo | Permanente Ajustado - (h);Ativo | Provisão sobre Arrendamento Mercantil - (e4);Ativo | Provisão sobre Operações de Crédito - (d2);Ativo | TVM e Instrumentos Financeiros Derivativos - (c);Demonstração de Resultado | Despesas Administrativas - (d4);Demonstração de Resultado | Despesas Tributárias - (d5);Demonstração de Resultado | Despesas de Captação - (b1);Demonstração de Resultado | Despesas de Intermediação Financeira - (b) = (b1) + (b2) + (b3) + (b4) + (b5);Demonstração de Resultado | Despesas de Obrigações por Empréstimos e Repasses - (b2);Demonstração de Resultado | Despesas de Operações de Arrendamento Mercantil - (b3);Demonstração de Resultado | Despesas de Pessoal - (d3);Demonstração de Resultado | Imposto de Renda e Contribuição Social - (h);Demonstração de Resultado | Juros Sobre Capital Próprio - (k);Demonstração de Resultado | Juros Sobre Capital Social de Cooperativas - (k);Demonstração de Resultado | Lucro Líquido - (j) = (g) + (h) + (i);Demonstração de Resultado | Outras Despesas Operacionais - (d8);Demonstração de Resultado | Outras Receitas Operacionais - (d7);Demonstração de Resultado | Outras Receitas/Despesas Operacionais - (d) = (d1) + (d2) + (d3) + (d4) + (d5) + (d6) + (d7) + (d8);Demonstração de Resultado | Participação nos Lucros - (i);Demonstração de Resultado | Receitas de Intermediação Financeira - (a) = (a1) + (a2) + (a3) + (a4) + (a5) + (a6);Demonstração de Resultado | Rendas de Aplicações Compulsórias - (a6);Demonstração de Resultado | Rendas de Operações com Instrumentos Financeiros Derivativos - (a4);Demonstração de Resultado | Rendas de Operações com TVM - (a3);Demonstração de Resultado | Rendas de Operações de Arrendamento Mercantil - (a2);Demonstração de Resultado | Rendas de Operações de Crédito - (a1);Demonstração de Resultado | Rendas de Prestação de Serviços - (d1);Demonstração de Resultado | Rendas de Tarifas Bancárias - (d2);Demonstração de Resultado | Resultado Não Operacional - (f);Demonstração de Resultado | Resultado Operacional - (e) = (c) + (d);Demonstração de Resultado | Resultado antes da Tributação, Lucro e Participação - (g) = (e) + (f);Demonstração de Resultado | Resultado de Intermediação Financeira - (c) = (a) + (b);Demonstração de Resultado | Resultado de Operações de Câmbio - (a5);Demonstração de Resultado | Resultado de Operações de Câmbio - (b4);Demonstração de Resultado | Resultado de Participações - (d6);Demonstração de Resultado | Resultado de Provisão para Créditos de Difícil Liquidação - (b5);Passivo | Captações - (e) = (a) + (b) + (c) + (d);Passivo | Conta de Pagamento Pré-Paga - (a5);Passivo | Depósito Total - (a);Passivo | Depósitos Interfinanceiros - (a3);Passivo | Depósitos Outros - (a6);Passivo | Depósitos a Prazo - (a4);Passivo | Depósitos de Poupança - (a2);Passivo | Depósitos à Vista - (a1);Passivo | Instrumentos Derivativos - (f);Passivo | Letras Financeiras - (c3);Passivo | Letras de Crédito Imobiliário - (c1);Passivo | Letras de Crédito do Agronegócio - (c2);Passivo | Obrigações por Empréstimos e Repasses - (d);Passivo | Obrigações por Operações Compromissadas - (b);Passivo | Obrigações por Títulos e Valores Mobiliários no Exterior - (c4);Passivo | Outras Obrigações - (g);Passivo | Outros Depósitos - (a5);Passivo | Outros Recursos de Aceites e Emissão de Títulos - (c5);Passivo | Passivo Circulante e Exigível a Longo Prazo - (h) = (e) + (f) + (g);Passivo | Passivo Total - (j) = (h) + (i);Passivo | Passivo Total - (k) = (h) + (i) + (j);Passivo | Patrimônio Líquido - (i);Passivo | Patrimônio Líquido - (j);Passivo | Recursos de Aceites e Emissão de Títulos - (c);Passivo | Resultados de Exercícios Futuros - (i)
00068389;201612;0.0;0.0;0.0;27371496.77;27371496.77;0.0;0.0;298261.45;0.0;12918055.38;12662547.85;12550313.14;729073.18;1131301.15;0.0;-255507.53;0.0;-412135.82;-1628.49;-861920.72;-931451.42;0.0;0.0;-605372.18;0.0;-958236.48;0.0;546542.39;-275511.44;73793.9000000001;-1059538.32;0.0;2537532.13;0.0;0.0;778865.75;0.0;1758666.38;25867.61;135314.48;0.0;546542.39;546542.39;1606080.71;0.0;0.0;133.62;-69530.7;17432454.79;0.0;17432454.79;0.0;0.0;14363327.31;0.0;3054869.32;0.0;0.0;0.0;0.0;0.0;0.0;0.0;795464.8;14258.16;0.0;18227919.59;0.0;27371496.77;0.0;9143577.18;0.0;0.0
00068389;201712;0.0;0.0;0.0;30108697.61;30108697.61;0.0;0.0;333686.66;0.0;13131461.11;12513222.54;15041385.12;915357.39;1305045.9;0.0;-618238.57;0.0;-508343.67;-1276.33;-628794.99;-872785.57;0.0;0.0;-612226.31;0.0;-728936.34;0.0;452436.99;-274211.07;57170.52;-1163465.23;0.0;2488687.79;0.0;0.0;643518.37;0.0;1845169.42;40776.12;134184.16;0.0;452436.99;452436.99;1615902.22;0.0;0.0;461.35;-243990.58;19252259.7;0.0;19252259.7;0.0;0.0;16403402.46;0.0;2843557.57;0.0;0.0;0.0;0.0;0.0;0.0;0.0;939667.11;5299.67;0.0;20191926.81;0.0;30108697.61;0.0;9916770.8;0.0;0.0
00068389;201803;0.0;0.0;0.0;30581681.33;30581681.33;0.0;0.0;50542.54;0.0;13850650.31;13089235.53;15170158.01;704160.02;1567585.23;0.0;-761414.78;0.0;-304716.84;-685.89;-254074.82;-425038.95;0.0;0.0;-315652.22;0.0;0.0;0.0;73822.0;-138741.73;30813.93;-640994.71;0.0;1139855.66;0.0;0.0;249643.08;0.0;890212.58;21147.89;66651.95;0.0;73822.0;73822.0;714816.71;0.0;0.0;188.2;-170964.13;19867830.79;0.0;19867830.79;0.0;0.0;16866827.52;0.0;2997124.34;0.0;0.0;0.0;0.0;0.0;0.0;0.0;687429.3;3878.93;0.0;20555260.09;0.0;30581681.33;0.0;10026421.24;0.0;0.0
00068389;201806;0.0;0.0;0.0;31872269.76;31872269.76;0.0;0.0;137331.69;0.0;13809275.75;12834653.22;16681570.47;636756.4;1581957.98;0.0;-974622.53;0.0;-627720.74;-1650.43;-509000.44;-1030818.32;0.0;0.0;-661463.17;0.0;0.0;0.0;2512.2100000002;-281854.82;78015.3299999999;-1296626.08;0.0;2329956.61;0.0;0.0;491827.45;0.0;1838129.16;48604.87;149079.8;0.0;2512.2100000002;2512.2100000002;1299138.29;0.0;0.0;363.08;-521817.88;20983881.53;0.0;20983881.53;0.0;0.0;17755445.77;0.0;3226663.2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;961193.42;1772.56;0.0;21945074.95;0.0;31872269.76;0.0;9927194.81;0.0;0.0
00068389;201809;0.0;0.0;0.0;32655908.72;32655908.72;0.0;0.0;134295.0;0.0;13534808.32;12573725.42;17670555.89;699693.37;1577639.04;0.0;-961082.9;0.0;-310390.29;-1279.2;-275650.34;-240341.13;0.0;0.0;-378951.82;-3116.84;0.0;0.0;363462.01;-161901.92;32745.7300000001;-691476.91;0.0;1299146.95;0.0;0.0;266966.51;0.0;1032180.44;36612.55;91594.81;-750.06;367328.91;366578.85;1058805.82;0.0;0.0;93.23;35309.21;21462775.38;0.0;21462775.38;0.0;0.0;18117611.54;0.0;3343368.61;0.0;0.0;0.0;0.0;0.0;0.0;0.0;995407.58;1795.23;0.0;22458182.96;0.0;32655908.72;0.0;10197725.76;0.0;0.0
00068389;201812;0.0;0.0;0.0;33195054.8;33195054.8;0.0;0.0;157846.66;0.0;13658540.41;12502838.67;18086117.95;825302.88;1622948.64;0.0;-1155701.74;0.0;-760901.63;-4040.38;-541386.82;-786704.17;0.0;0.0;-789680.39;-5690.98;0.0;0.0;164268.76;-375254.56;81367.56;-1568514.89;0.0;2510868.58;0.0;0.0;541997.96;0.0;1968870.62;110139.03;169762.25;14310.22;155649.52;169959.74;1724164.41;0.0;0.0;93.23;-245317.35;22168591.06;0.0;22168591.06;0.0;0.0;17836381.72;0.0;4332209.34;0.0;0.0;0.0;0.0;0.0;0.0;0.0;991062.45;0.0;0.0;23159653.51;0.0;33195054.8;0.0;10035401.29;0.0;0.0
00068389;201906;0.0;0.0;0.0;30428420.37;30428420.37;0.0;0.0;257122.24;0.0;14187169.03;13336087.08;13937110.69;1137915.43;1760184.93;0.0;-851081.95;0.0;-718789.02;-3042.53;-533962.92;-644484.78;0.0;0.0;-834054.54;-920.81;0.0;0.0;153997.18;-435795.81;89280.7300000001;-1621837.59;0.0;2420810.59;0.0;0.0;504287.5;0.0;1916523.09;121164.99;159398.59;429.77;154488.22;154917.99;1776325.81;0.0;0.0;0.0;-110521.86;18747025.2;0.0;18747025.2;0.0;0.0;15358913.64;0.0;3388111.56;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1524415.87;0.0;0.0;20271441.07;0.0;30428420.37;0.0;10156979.3;0.0;0.0
00068389;201909;0.0;0.0;0.0;31681692.01;31681692.01;0.0;0.0;267039.43;0.0;14439562.72;12611374.81;15830050.93;1228922.61;1744304.23;0.0;-1828187.91;0.0;-373174.41;-1394.31;-244590.29;-1302884.67;0.0;0.0;-413401.97;0.0;0.0;0.0;-1424309.17;-700210.99;56083.42;-1287944.5;0.0;1166624.6;0.0;0.0;217918.64;0.0;948705.96;63695.82;80457.94;-104.6;-1424204.57;-1424309.17;-136260.07;0.0;0.0;0.0;-1058294.38;20861081.17;0.0;20861081.17;0.0;0.0;16970353.14;0.0;3890728.03;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2030438.44;0.0;0.0;22891519.61;0.0;31681692.01;0.0;8790172.4;0.0;0.0
00068987;201612;0.0;0.0;0.0;143889790.53;143889790.53;0.0;0.0;707522.39;0.0;104768345.51;99579506.86;34080738.62;2026305.89;7495716.77;0.0;-5188838.65;0.0;-1940022.21;-32119.85;-2465426.6;-7349299.94;-2170032.65;0.0;-2304532.98;-50603.24;0.0;0.0;94486.1800000006;-364021.8;588500.83;-3330828.93;-60833.45;10933453.09;0.0;0.0;2289633.96;0.0;8643819.13;373906.88;347460.2;-47401.35;253324.220000001;205922.870000001;3584153.15;0.0;0.0;0.0;-2713840.69;50611912.67;0.0;49068396.41;0.0;0.0;34861485.03;0.0;14206911.38;0.0;0.0;0.0;1543516.26;0.0;0.0;0.0;66800561.07;0.0;0.0;117412473.74;0.0;143889790.53;0.0;26477316.79;1543516.26;0.0
00068987;201712;0.0;0.0;0.0;158241234.06;158241234.06;0.0;0.0;1247331.38;0.0;116271338.7;110456610.89;36192683.4;1882693.35;8461915.04;0.0;-5814727.81;0.0;-2236405.01;-58194.12;-1656441.63;-6073850.47;-2218374.41;0.0;-2650259.59;-97792.58;0.0;0.0;1110033.04;-400401.57;935353.64;-3413448.49;0.0;10740964.38;0.0;0.0;1411070.06;0.0;9329894.32;627804.3;368653.86;-45839.8;1253665.42;1207825.62;4667113.91;0.0;0.0;0.0;-2199034.43;61959263.77;0.0;58155711.32;0.0;0.0;39153071.28;0.0;19002640.04;0.0;0.0;0.0;3803552.45;0.0;0.0;0.0;64941541.86;0.0;0.0;126900805.63;0.0;158241234.06;0.0;31340428.43;3803552.45;0.0
