ranking;instituicao;tipo_documento;tipo_controle;4;5;6;7;8;9;10;11;12;13;14;ano;mes;relatorio
1;CEF;I;1;;06/1996;BRASILIA;DF;88.820.600;89.012.191;3.824.402;30.953;51.081.872;96.929;2.288;1996;6;Resumo
2;BB;C;1;;06/1996;BRASILIA;DF;77.399.134;79.763.608;5.337.101;-7.780.753;47.868.559;106.834;3.127;1996;6;Resumo
3;BANESPA;C;2;;06/1996;SAO PAULO;SP;41.542.106;55.215.128;1.818.145;451.682;18.575.525;36.759;613;1996;6;Resumo
4;BRADESCO;I;3;2;06/1996;OSASCO;SP;28.794.529;37.278.611;5.217.923;430.610;13.728.050;51.238;1.864;1996;6;Resumo
5;ITAU;C;3;;06/1996;SAO PAULO;SP;27.370.214;29.141.654;3.845.102;282.806;10.065.499;40.406;1.054;1996;6;Resumo
6;UNIBANCO;C;5;;06/1996;SAO PAULO;SP;22.500.240;22.500.240;2.047.691;126.855;7.997.550;29.539;812;1996;6;Resumo
7;BAMERINDUS;C;3;;06/1996;CURITIBA;PR;14.675.354;18.585.754;1.368.869;20.431;6.047.246;25.436;1.364;1996;6;Resumo
8;REAL;C;3;;06/1996;SAO PAULO;SP;13.329.357;14.652.638;1.608.475;243.737;7.003.904;14.110;527;1996;6;Resumo
9;NOSSA CAIXA;I;2;;06/1996;SAO PAULO;SP;10.064.199;10.164.253;758.818;56.654;7.412.091;13.734;482;1996;6;Resumo
10;BANRISUL;I;2;2;06/1996;PORTO ALEGRE;RS;8.772.413;8.772.413;444.370;3.112;2.249.657;9.085;314;1996;6;Resumo
11;SAFRA;C;3;;06/1996;SAO PAULO;SP;7.523.182;7.898.354;678.878;49.022;3.046.260;3.346;71;1996;6;Resumo
12;BANERJ;I;2;2;06/1996;RIO DE JANEIRO;RJ;7.505.013;7.532.251;-2.200.481;-419.575;3.557.373;8.122;190;1996;6;Resumo
13;CREDIREAL;I;2;2;06/1996;JUIZ DE FORA;MG;7.422.041;7.687.828;60.576;1.808;851.076;3.012;87;1996;6;Resumo
14;BCN;I;3;2;06/1996;BARUERI;SP;6.876.137;9.560.992;882.483;71.461;2.976.536;6.642;108;1996;6;Resumo
15;CITIBANK;C;4;;06/1996;SAO PAULO;SP;6.594.919;7.034.983;650.204;76.294;1.289.191;2.196;43;1996;6;Resumo
16;BANESTADO;C;2;;06/1996;CURITIBA;PR;6.063.110;6.070.884;463.492;11.856;3.274.690;12.858;394;1996;6;Resumo
17;BANKBOSTON;C;4;;06/1996;SAO PAULO;SP;5.876.855;6.581.586;380.567;43.239;1.075.207;2.974;59;1996;6;Resumo
18;MERCANTIL SP;C;3;;06/1996;SAO PAULO;SP;5.032.473;5.034.925;854.336;53.723;2.770.278;4.668;199;1996;6;Resumo
19;SUDAMERIS;C;4;;06/1996;SAO PAULO;SP;4.996.585;5.359.036;418.401;27.270;1.631.414;4.939;97;1996;6;Resumo
20;BBA-CREDITANSTALT;I;5;2;06/1996;SAO PAULO;SP;4.773.551;4.775.664;386.146;70.486;355.199;360;5;1996;6;Resumo
21;BOZANO,SIMONSEN;C;5;;06/1996;RIO DE JANEIRO;RJ;3.993.475;4.977.426;443.602;97.063;350.535;326;4;1996;6;Resumo
22;BANDEIRANTES;C;3;;06/1996;BARUERI;SP;3.937.948;3.973.968;319.523;16.742;2.059.515;8.080;205;1996;6;Resumo
23;BNB;I;1;;06/1996;FORTALEZA;CE;3.672.158;3.853.535;447.641;17.152;949.756;8.305;181;1996;6;Resumo
24;AMERICA DO SUL;I;5;2;06/1996;SAO PAULO;SP;3.553.022;4.284.964;346.631;20.932;1.870.380;5.953;139;1996;6;Resumo
25;BBV BANCO;I;4;2;06/1996;SALVADOR;BA;3.504.846;3.816.222;509.422;-4.994;1.351.577;5.982;284;1996;6;Resumo
26;LLOYDS;C;4;;06/1996;SAO PAULO;SP;3.480.261;4.796.443;278.824;9.665;879.098;534;22;1996;6;Resumo
27;BOAVISTA;C;3;;06/1996;RIO DE JANEIRO;RJ;3.333.826;3.953.514;335.661;32.135;1.528.445;2.905;68;1996;6;Resumo
28;ABN AMRO;C;4;;06/1996;SAO PAULO;SP;3.128.234;3.235.704;247.622;16.086;621.976;2.396;30;1996;6;Resumo
29;BEMGE;I;2;2;06/1996;BELO HORIZONTE;MG;2.931.260;3.265.999;197.832;-48.889;1.680.250;10.589;501;1996;6;Resumo
30;CHASE MANHATTAN;I;4;2;06/1996;SAO PAULO;SP;2.453.070;4.731.522;254.006;51.882;88.611;477;2;1996;6;Resumo
31;MERIDIONAL;I;1;2;06/1996;PORTO ALEGRE;RS;2.295.802;2.398.635;362.454;-60.498;1.372.857;10.158;256;1996;6;Resumo
32;BANCO BMC;I;3;2;06/1996;SAO PAULO;SP;2.066.263;2.066.263;225.799;22.969;545.914;574;14;1996;6;Resumo
33;PACTUAL;I;3;2;06/1996;RIO DE JANEIRO;RJ;1.967.113;5.257.612;237.697;15.995;171.250;330;2;1996;6;Resumo
34;DIBENS;C;3;;06/1996;SAO PAULO;SP;1.870.658;2.071.372;157.838;8.137;485.182;453;24;1996;6;Resumo
35;BANEB;I;2;2;06/1996;SALVADOR;BA;1.865.497;1.865.497;139.228;-29.678;886.692;4.261;178;1996;6;Resumo
36;BIC;I;3;2;06/1996;SAO PAULO;SP;1.855.139;2.865.201;193.960;23.974;841.062;1.241;38;1996;6;Resumo
37;BESC;I;2;2;06/1996;FLORIANOPOLIS;SC;1.711.936;1.716.999;216.848;11.801;662.642;8.233;255;1996;6;Resumo
38;PONTUAL;C;3;;06/1996;SAO PAULO;SP;1.622.673;2.030.137;149.594;7.498;564.229;530;14;1996;6;Resumo
39;MITSUBISHI;I;4;2;06/1996;SAO PAULO;SP;1.430.209;1.509.304;200.672;16.306;114.243;420;9;1996;6;Resumo
40;FIBRA;I;3;2;06/1996;SAO PAULO;SP;1.383.468;1.775.205;128.663;18.322;518.473;464;10;1996;6;Resumo
41;BMB;I;3;2;06/1996;BELO HORIZONTE;MG;1.339.002;1.662.939;334.444;15.124;747.446;4.752;179;1996;6;Resumo
42;CREDIBANCO;I;5;2;06/1996;RIO DE JANEIRO;RJ;1.337.117;1.348.176;162.467;23.178;85.125;360;6;1996;6;Resumo
43;BRB;I;2;2;06/1996;BRASILIA;DF;1.263.802;1.322.077;207.415;-17.591;665.658;3.932;51;1996;6;Resumo
44;DEUTSCHE;I;4;;06/1996;SAO PAULO;SP;1.251.085;1.317.129;85.549;3.029;229.307;281;6;1996;6;Resumo
45;JP MORGAN;C;4;;06/1996;SAO PAULO;SP;1.240.679;1.240.679;131.312;9.119;329.119;198;4;1996;6;Resumo
46;VOTORANTIM;I;3;2;06/1996;SAO PAULO;SP;1.212.678;1.212.678;140.703;9.704;163.689;217;2;1996;6;Resumo
47;DEUTSCH;I;4;;06/1996;SAO PAULO;SP;1.185.520;1.185.520;98.678;8.017;125.257;184;3;1996;6;Resumo
48;RURAL;C;3;;06/1996;RIO DE JANEIRO;RJ;1.149.833;1.172.302;152.667;15.285;399.399;2.588;62;1996;6;Resumo
49;BEAL;I;4;2;06/1996;SAO PAULO;SP;1.136.043;1.309.782;66.490;2.002;115.729;226;3;1996;6;Resumo
50;BMG;C;3;;06/1996;BELO HORIZONTE;MG;1.090.022;1.148.357;133.307;14.453;289.869;445;9;1996;6;Resumo
51;BASA;I;1;;06/1996;BELEM;PA;1.059.804;1.078.142;102.536;12.310;542.107;3.244;99;1996;6;Resumo
52;BANESTES;I;2;2;06/1996;VITORIA;ES;1.023.477;1.031.749;47.127;-34.354;663.173;4.362;106;1996;6;Resumo
53;GERAL DO COMERCIO;C;4;;06/1996;RIO DE JANEIRO;RJ;976.004;1.067.616;147.942;6.617;542.729;2.216;43;1996;6;Resumo
54;SUL AMERICA;I;5;2;06/1996;SAO PAULO;SP;956.937;956.937;89.757;13.793;100.644;117;2;1996;6;Resumo
55;BCN BARCLAYS;I;5;2;06/1996;SAO PAULO;SP;926.366;1.326.595;121.485;13.507;67.471;121;1;1996;6;Resumo
56;SOGERAL;C;5;;06/1996;SAO PAULO;SP;869.130;1.173.164;90.080;5.509;90.301;234;5;1996;6;Resumo
57;BEC;I;2;2;06/1996;FORTALEZA;CE;827.901;827.901;72.247;1.312;398.650;3.011;86;1996;6;Resumo
58;ING BANK;I;4;;06/1996;SAO PAULO;SP;801.815;1.063.862;98.359;4.807;194.948;307;1;1996;6;Resumo
59;SUMITBANK;I;4;;06/1996;SAO PAULO;SP;738.691;743.947;116.063;4.446;84.426;170;3;1996;6;Resumo
60;SANTOS;I;3;2;06/1996;SAO PAULO;SP;732.600;732.600;41.165;4.418;175.605;119;2;1996;6;Resumo
61;BNL;I;4;2;06/1996;SAO PAULO;SP;729.380;752.521;95.121;2.265;141.856;229;4;1996;6;Resumo
62;ABC-ROMA;I;5;2;06/1996;SAO PAULO;SP;711.036;746.822;120.462;16.379;214.226;205;4;1996;6;Resumo
63;BANDEPE;I;2;2;06/1996;RECIFE;PE;699.277;746.373;14.504;-42.062;491.079;2.600;54;1996;6;Resumo
64;BEG;I;2;2;06/1996;GOIANIA;GO;617.256;644.352;58.069;-12.659;248.155;3.949;175;1996;6;Resumo
65;BCO GARANTIA;I;3;2;06/1996;SAO PAULO;SP;585.404;585.404;95.924;12.290;134.880;21;2;1996;6;Resumo
66;BMD;C;3;;06/1996;SAO PAULO;SP;573.321;580.969;90.639;1.520;254.199;1.182;33;1996;6;Resumo
67;SRL;I;5;;06/1996;SAO PAULO;SP;569.145;600.404;70.381;5.694;111.457;109;3;1996;6;Resumo
68;INVESTCRED;I;3;2;06/1996;RIO DE JANEIRO;RJ;464.661;464.661;32.297;1.725;288.453;17;1;1996;6;Resumo
69;AGF BRASEG;I;5;2;06/1996;SAO PAULO;SP;450.685;558.540;50.132;2.533;101.290;77;1;1996;6;Resumo
70;OMEGA;C;3;;06/1996;RIO DE JANEIRO;RJ;449.002;599.089;43.552;97;50.538;89;4;1996;6;Resumo
71;BANFORT;I;3;2;06/1996;SAO PAULO;SP;400.372;400.372;53.556;-6.086;195.059;342;15;1996;6;Resumo
