ranking;instituicao;tipo_documento;tipo_controle;4;5;6;7;8;9;10;11;12;13;14;15;16;17;ano;mes;relatorio;18
1;CEF;I;1;;12/1997;111.603.523;485.658;5.961.217;10.622.091;17.109.854;192.173;58.083.427;-1.339.898;15.736.874;608.812;0;4.143.315;1997;12;Ativo;
2;BB;C;1;;12/1997;108.915.586;887.634;14.192.553;28.870.265;8.042.155;233.597;30.366.633;-4.285.222;26.525.817;649.868;533.400;2.898.884;1997;12;Ativo;
3;BANESPA;C;1;;12/1997;58.369.660;1.709.721;3.347.993;45.102.359;2.471.948;3.178;3.648.657;-193.433;1.346.104;60.843;160.332;711.958;1997;12;Ativo;
4;ITAU;C;3;;12/1997;43.814.111;2.487.384;11.041.132;5.273.979;3.307.579;15.942;11.132.695;-554.671;5.411.047;200.210;1.288.283;4.210.531;1997;12;Ativo;
5;BRADESCO;C;3;;12/1997;42.723.069;1.350.170;4.568.261;6.501.308;3.574.495;61.939;16.744.633;-237.860;4.202.430;177.032;798.181;4.982.481;1997;12;Ativo;
6;UNIBANCO;C;5;;12/1997;25.431.865;348.526;5.899.552;3.247.188;1.438.241;112.828;8.527.830;-259.834;2.818.019;195.308;856.426;2.247.781;1997;12;Ativo;
7;REAL;C;3;;12/1997;19.625.690;217.889;4.367.803;2.625.168;1.116.559;65.320;6.662.324;-203.002;3.030.759;42.482;753.016;947.371;1997;12;Ativo;
8;NOSSA CAIXA;I;2;;12/1997;13.087.357;30.065;1.111.855;7.915.909;1.503.135;51;911.668;-2.608;619.504;23.465;0;974.314;1997;12;Ativo;
9;BEMGE;C;2;;12/1997;13.225.681;27.744;568.402;10.744.304;258.671;147;678.441;-1.809;787.575;9.032;0;153.174;1997;12;Ativo;
10;BANRISUL;C;2;;12/1997;11.962.927;56.482;737.397;7.822.186;612.811;36.288;2.269.873;-92.137;293.628;35.468;54.226;136.705;1997;12;Ativo;
11;SAFRA;C;3;;12/1997;15.032.509;541.547;5.218.751;3.508.650;807.538;2.098;2.647.716;-17.545;763.102;46.614;965.366;548.673;1997;12;Ativo;
12;HSBC BAMERINDUS;I;4;2;12/1997;13.031.661;136.079;3.075.082;3.321.979;1.375.668;202;2.009.720;-15.343;2.279.023;2.244;0;847.008;1997;12;Ativo;
13;BAMERINDUS;I;3;;12/1997;7.942.350;0;765.147;1.465.154;15.375;0;1.968.401;-904.481;3.855.916;224.179;106.905;445.755;1997;12;Ativo;
14;BCN;I;3;2;12/1997;13.149.099;35.194;5.768.207;598.521;976.054;169;3.162.393;-65.519;1.540.445;46.708;0;1.086.927;1997;12;Ativo;
15;BANKBOSTON;C;4;;12/1997;8.320.264;509.607;2.411.797;839.969;276.395;778;2.541.748;-2.836;1.328.119;16.653;322.911;75.124;1997;12;Ativo;
16;CITIBANK;C;4;;12/1997;7.713.529;181.711;1.653.637;553.294;797.331;0;2.434.401;-55.430;1.725.350;14.172;259.815;149.247;1997;12;Ativo;
17;BANESTADO;C;2;;12/1997;7.072.338;56.098;108.559;855.800;883.434;790;3.144.274;-319.499;1.374.634;73.564;599.569;295.115;1997;12;Ativo;
18;BOAVISTA;C;5;;12/1997;6.194.846;1.314.312;363.856;2.069.810;299.885;2.848;1.273.277;-250.784;759.403;32.983;136.252;193.005;1997;12;Ativo;
19;SUDAMERIS;C;4;;12/1997;8.542.552;33.498;2.685.970;816.539;555.368;1.031;2.685.904;-52.989;996.043;37.326;494.811;289.053;1997;12;Ativo;
20;BBA-CREDITANSTALT;C;5;;12/1997;6.494.539;22.886;766.822;1.472.179;395.707;0;2.142.255;-24.678;1.306.160;7.968;0;405.241;1997;12;Ativo;
21;MERCANTIL SP;C;3;;12/1997;5.987.404;95.833;613.519;422.104;823.696;664;1.756.678;-16.900;900.311;10.336;642.280;738.883;1997;12;Ativo;
22;EXCEL;C;4;;12/1997;11.511.068;137.638;5.990.502;642.696;606.968;19;2.838.818;-41.157;509.226;92.274;358.767;375.316;1997;12;Ativo;
23;BNB;I;1;;12/1997;5.303.157;17.463;366.799;486.099;270.313;22;3.493.405;-118.317;517.103;8.798;0;261.473;1997;12;Ativo;
24;ABN AMRO;C;4;;12/1997;4.618.636;53.269;182.571;772.717;132.956;33;1.855.331;-44.535;776.984;7.827;805.726;75.758;1997;12;Ativo;
25;BANDEIRANTES;C;3;;12/1997;4.675.311;33.979;430.171;702.460;448.682;5.327;1.611.538;-139.121;662.122;49.112;518.834;352.208;1997;12;Ativo;
26;BOZANO,SIMONSEN;C;5;;12/1997;12.490.013;8.507;8.889.822;1.110.171;215.952;0;857.583;-18.629;801.658;35.965;31.247;557.736;1997;12;Ativo;
27;AMERICA DO SUL;C;5;;12/1997;4.553.650;43.050;460.853;372.124;570.669;3.610;2.270.230;-387.791;575.137;81.879;360.533;203.355;1997;12;Ativo;
28;LLOYDS;C;4;;12/1997;5.748.783;102.419;2.075.782;1.056.530;251.767;77.481;1.278.053;-12.197;697.175;15.965;85.458;120.349;1997;12;Ativo;
29;GARANTIA;C;3;;12/1997;3.709.254;9.788;40.110;1.866.341;117.507;0;32.875;0;1.532.767;0;0;109.866;1997;12;Ativo;
30;CHASE;C;4;;12/1997;3.249.556;7.342;1.612.057;1.014.397;67.007;0;209.513;-2.385;323.765;431;-2.603;20.032;1997;12;Ativo;
31;JP MORGAN;C;4;;12/1997;2.877.820;129;273.547;1.578.799;176.646;0;30.829;0;797.882;308;0;19.679;1997;12;Ativo;
32;VOTORANTIM;C;3;;12/1997;3.335.639;385;1.059.284;1.452.667;155.102;0;234.282;-1.245;317.992;1.911;15.926;99.335;1997;12;Ativo;
33;SANTANDER BRASIL;C;4;;12/1997;2.677.274;20.960;277.827;940.366;211.018;51;626.397;-50.791;442.833;12.218;84.134;112.262;1997;12;Ativo;
34;MERIDIONAL;I;4;2;12/1997;7.459.911;14.366;5.215.292;516.558;240.525;0;765.505;-249.493;641.180;107.984;0;207.995;1997;12;Ativo;
35;BANEB;I;2;2;12/1997;2.427.224;28.475;55.220;659.643;419.082;5.618;968.526;-15.825;192.318;20.787;0;93.378;1997;12;Ativo;
