ranking;instituicao;tipo_documento;tipo_controle;4;5;6;7;8;9;10;11;12;13;14;15;16;17;ano;mes;relatorio;18;19;20;21;22
1;BB;C;1;;12/1998;122.934.246;10.707.629;18.682.415;1.222.831;30.121.321;305.031;61.039.226;17.704.601;744.569;988.008;579.682;23.760.439;1998;12;Passivo;0;18.117.721;6.629.873;454.864;
2;CEF;I;1;;12/1998;111.087.954;2.901.393;26.934.804;6.265;27.860.934;2.686.304;60.389.699;898.131;7.772.420;278.870;372.376;658.702;1998;12;Passivo;0;40.717.756;3.582.467;204.722;
3;BRADESCO;C;3;;12/1998;54.683.007;4.979.068;16.175.302;136.954;8.101.042;18;29.392.384;9.306.435;457.433;667.726;573.524;8.890.591;1998;12;Passivo;0;5.394.914;6.410.928;591.121;
4;ITAU;C;3;;12/1998;40.571.550;3.380.891;14.658.304;136.106;3.100.991;20.777;21.297.070;2.527.331;4.050.695;985.238;632.217;4.578.759;1998;12;Passivo;0;6.500.241;5.356.755;918.797;
5;UNIBANCO;C;5;;12/1998;26.373.502;1.076.155;2.981.605;21.459;3.725.547;1.505;7.806.271;2.789.608;4.329.987;460.399;226.175;5.675.029;1998;12;Passivo;0;5.086.034;3.008.428;217.893;
6;BANESPA;C;1;;12/1998;21.032.114;2.152.169;2.784.795;350.937;6.132.326;4.874;11.425.103;1.284.624;0;147.981;153.822;2.503.556;1998;12;Passivo;0;5.517.028;4.143.898;207.853;
7;REAL;C;3;;12/1998;17.896.773;969.043;4.070.518;446.206;2.786.760;1.911;8.274.439;3.558.161;39.025;368.500;192.755;1.591.579;1998;12;Passivo;0;3.872.314;1.330.866;83.061;
8;BANRISUL;C;2;;12/1998;14.479.929;462.416;1.380.479;59.424;2.133.010;1.101;4.036.430;9.188.262;0;69.647;107.474;642.776;1998;12;Passivo;0;435.340;480.441;24.712;
9;HSBC;C;4;;12/1998;12.957.984;495.650;4.538.451;59.972;1.742.245;1.330;6.837.648;726.625;0;263.051;272.790;1.422.464;1998;12;Passivo;0;3.435.405;981.108;60.324;
10;NOSSA CAIXA;I;2;;12/1998;12.600.676;640.996;5.088.527;0;4.942.507;3.488;10.675.518;86.801;213.967;158.837;7.613;167.892;1998;12;Passivo;0;1.290.049;969.479;76.385;
