ranking;instituicao;tipo_documento;tipo_controle;4;5;6;7;8;9;10;11;12;13;14;15;16;17;ano;mes;relatorio
1;BB;C;1;1;12/1999;4.333.826;5.374.875;-199.613;866.111;84.724;-4.282.238;-2.390.237;-126.746;0;-1.857.736;1.802.966;;1999;12;Resultado
2;CEF;I;1;1;12/1999;6.922.229;1.186.834;-20.831;64;769.935;-3.341.097;-2.440.720;0;0;-277.115;2.799.299;;1999;12;Resultado
3;BRADESCO;C;3;;12/1999;4.400.741;1.526.517;37.409;447.017;123.724;-2.265.266;-1.022.635;-687.028;0;-967.924;1.592.555;;1999;12;Resultado
4;ITAU;C;3;;12/1999;1.899.392;1.255.837;67.119;78.131;102.231;-1.205.732;-222.571;-204.664;0;-194.847;1.574.896;;1999;12;Resultado
5;UNIBANCO;C;5;;12/1999;2.687.331;767.500;-27.415;722.613;22.398;-954.836;-1.581.900;-291.317;0;-274.170;1.070.204;;1999;12;Resultado
6;BANESPA;C;1;;12/1999;874.855;1.722.991;-2.114;37.685;19.302;-709.711;-51.050;-55.386;0;27.116;1.863.688;;1999;12;Resultado
7;ABN AMRO;C;4;;12/1999;1.949.834;382.443;33.642;172.533;25.486;-637.300;-271.575;-503.691;0;-129.618;1.021.754;;1999;12;Resultado
8;SAFRA;C;3;1;12/1999;796.492;671.472;-15.147;52.668;4.158;-623.008;-183.737;-295.185;0;-45.766;361.947;;1999;12;Resultado
9;NOSSA CAIXA;I;2;;12/1999;297.781;618.422;5.390;1.053;37.730;-709.471;-6.468;0;0;-10.455;233.982;;1999;12;Resultado
10;BANKBOSTON;C;4;;12/1999;569.848;1.139.213;-198.348;369.541;4.982;-671.843;-562.068;-70.246;0;-29.180;551.899;;1999;12;Resultado
11;SANTANDER BRASIL;C;4;;12/1999;704.814;584.782;21.726;89.881;76.934;-743.324;-149.675;-158.488;0;-130.126;296.524;;1999;12;Resultado
12;CITIBANK;C;4;;12/1999;707.009;370.585;102.493;45.469;1.437;-199.331;-354.579;-147.657;0;39.960;565.386;;1999;12;Resultado
13;HSBC;C;4;;12/1999;649.628;502.681;262.099;25.400;24.276;-452.926;-201.832;-71.190;0;-47.527;690.609;;1999;12;Resultado
14;BBA-CREDITANSTALT;C;5;;12/1999;411.083;613.696;-61.324;11.165;0;-434.736;-184.610;-81.641;0;-54.379;219.254;;1999;12;Resultado
15;SUDAMERIS;C;4;;12/1999;845.586;250.416;28.326;93.996;17.148;-420.798;-233.269;-223.583;0;-109.429;248.393;;1999;12;Resultado
16;BILBAO VIZCAYA;C;4;;12/1999;288.023;518.429;24.597;11.835;3.176;-373.203;-71.759;-89.624;0;-81.158;230.316;;1999;12;Resultado
17;BANDEIRANTES;C;4;1;12/1999;508.450;290.173;-18.376;66.055;18.558;-351.643;-104.528;-129.206;0;-37.356;242.127;;1999;12;Resultado
18;MERCANTIL FINASA;C;3;;12/1999;524.351;158.623;-14.510;9.746;49.158;-334.749;-44.046;-216.699;0;-20.910;110.964;;1999;12;Resultado
19;BNB;I;1;1;12/1999;711.096;115.197;1.009;33.703;5.162;-152.673;-414.031;0;0;-303.259;-3.796;;1999;12;Resultado
20;MERIDIONAL;C;4;;12/1999;244.296;204.208;105.697;19.136;5.087;-235.168;-93.154;-79.708;0;-198.440;-28.046;;1999;12;Resultado
21;BANRISUL;C;2;;12/1999;332.750;341.118;-6.233;48.966;34.093;-288.726;-66.250;-9.715;0;-25.637;360.366;;1999;12;Resultado
22;BANESTADO;C;2;1;12/1999;345.426;72.810;-9.502;18.565;22.150;-253.423;-22.571;-63.285;0;112.463;222.633;;1999;12;Resultado
23;LLOYDS;C;4;;12/1999;419.158;250.907;-46.801;12.974;0;-195.850;-27.061;-38.929;0;-120.490;253.908;;1999;12;Resultado
24;VOTORANTIM;C;3;;12/1999;110.759;519.188;-106.209;8.569;0;-414.104;-27.111;-38.009;0;-4.449;48.634;;1999;12;Resultado
25;BOAVISTA;C;4;;12/1999;283.049;199.315;28.576;23.117;683;-246.319;-52.179;-17.512;0;17.140;235.870;;1999;12;Resultado
26;CSFB GARANTIA;C;4;;12/1999;6.317;342.299;20.311;18.604;0;-243.300;-13.967;0;0;0;130.264;;1999;12;Resultado
27;CHASE;C;4;;12/1999;30.518;382.848;154.055;13.629;5.814;-209.554;-279.165;-442;0;3.270;100.973;;1999;12;Resultado
28;ALFA;C;3;;12/1999;317.102;64.173;11.777;4.497;0;-138.151;-36.873;-130.708;0;-10.657;81.160;;1999;12;Resultado
29;RURAL;C;3;;12/1999;258.973;64.704;7.887;19.207;851;-145.942;-9.982;-13.410;0;-1.459;180.829;;1999;12;Resultado
30;DEUTSCHE;C;4;;12/1999;157.020;15.649;5.751;39.826;0;-12.972;-161.849;0;0;1.271;44.696;;1999;12;Resultado
31;JP MORGAN;C;4;;12/1999;6.337;209.359;-14.108;6.174;16;-103.121;-4.218;0;0;0;100.439;;1999;12;Resultado
32;BARCLAYS GALICIA;C;5;;12/1999;120.786;63.985;-12.083;29.879;25.423;-55.626;-88.618;0;0;-147.422;-63.676;;1999;12;Resultado
