"tipo_instituicao";"cod_inst";"ano_mes";"nome_relatorio";"numero_relatorio";"grupo";"conta";"nome_coluna";"descricao_coluna";"saldo"
"2";"00058338";"200703";"Resumo";"1";"null";"78182";"Ativo Total";"[10000007] + [20000004]";"1275056,27"
"2";"00058338";"200703";"Resumo";"1";"null";"78183";"Carteira de Crédito Classificada";"[31000000]";"613274,12"
"2";"00058338";"200703";"Resumo";"1";"null";"78184";"Passivo Circulante e Exigível a Longo Prazo e Resultados de Exercícios Futuros";"[40000008] + [50000005]";"1075363,15"
"2";"00058338";"200703";"Resumo";"1";"null";"78185";"Captações";"[41000007] + [42000006] + [43000005] + [46000002]";"1036840,72"
"2";"00058338";"200703";"Resumo";"1";"null";"78186";"Patrimônio Líquido";"[60000002] + [70000009]+ [80000006]";"199693,12"
"2";"00058338";"200703";"Resumo";"1";"null";"78187";"Lucro Líquido";"[70000009]+[80000006]-[81955002]";"7027,67"
"2";"00058338";"200703";"Resumo";"1";"null";"79649";"Patrimônio de Referência para Comparação com o RWA";"Montante de capital regulatório formado pela soma das parcelas de Capital Nível I e Capital Nível II";"199693,12"
"2";"00058338";"200703";"Resumo";"1";"null";"79662";"Índice de Imobilização";"Relação entre Ativo Permanente e Patrimônio de Referência";"0,0017"
"2";"00058338";"200703";"Resumo";"1";"null";"79664";"Índice de Basileia";"Relação entre o Patrimônio de Referência e os Ativos ponderados pelo risco";"0,202580530341652"
"2";"00068389";"200703";"Resumo";"1";"null";"78182";"Ativo Total";"[10000007] + [20000004]";"4603158,9"
"2";"00068389";"200703";"Resumo";"1";"null";"78183";"Carteira de Crédito Classificada";"[31000000]";"2850442,64"
"2";"00068389";"200703";"Resumo";"1";"null";"78184";"Passivo Circulante e Exigível a Longo Prazo e Resultados de Exercícios Futuros";"[40000008] + [50000005]";"3310729,26"
"2";"00068389";"200703";"Resumo";"1";"null";"78185";"Captações";"[41000007] + [42000006] + [43000005] + [46000002]";"3068678,11"
"2";"00068389";"200703";"Resumo";"1";"null";"78186";"Patrimônio Líquido";"[60000002] + [70000009]+ [80000006]";"1292429,64"
"2";"00068389";"200703";"Resumo";"1";"null";"78187";"Lucro Líquido";"[70000009]+[80000006]-[81955002]";"33521,79"
"2";"00068389";"200703";"Resumo";"1";"null";"79649";"Patrimônio de Referência para Comparação com o RWA";"Montante de capital regulatório formado pela soma das parcelas de Capital Nível I e Capital Nível II";"1292429,64"
"2";"00068389";"200703";"Resumo";"1";"null";"79662";"Índice de Imobilização";"Relação entre Ativo Permanente e Patrimônio de Referência";"0,2514"
"2";"00068389";"200703";"Resumo";"1";"null";"79664";"Índice de Basileia";"Relação entre o Patrimônio de Referência e os Ativos ponderados pelo risco";"0,352560456101362"
"2";"00068987";"200703";"Resumo";"1";"null";"78182";"Ativo Total";"[10000007] + [20000004]";"22455074,22"
"2";"00068987";"200703";"Resumo";"1";"null";"78183";"Carteira de Crédito Classificada";"[31000000]";"15679023,91"
"2";"00068987";"200703";"Resumo";"1";"null";"78184";"Passivo Circulante e Exigível a Longo Prazo e Resultados de Exercícios Futuros";"[40000008] + [50000005]";"19061446,76"
"2";"00068987";"200703";"Resumo";"1";"null";"78185";"Captações";"[41000007] + [42000006] + [43000005] + [46000002]";"12373469,61"
"2";"00068987";"200703";"Resumo";"1";"null";"78186";"Patrimônio Líquido";"[60000002] + [70000009]+ [80000006]";"3393627,46"
"2";"00068987";"200703";"Resumo";"1";"null";"78187";"Lucro Líquido";"[70000009]+[80000006]-[81955002]";"-14634,88"
"2";"00068987";"200703";"Resumo";"1";"null";"79649";"Patrimônio de Referência para Comparação com o RWA";"Montante de capital regulatório formado pela soma das parcelas de Capital Nível I e Capital Nível II";"3393627,46"
"2";"00068987";"200703";"Resumo";"1";"null";"79662";"Índice de Imobilização";"Relação entre Ativo Permanente e Patrimônio de Referência";"0,1613"
"2";"00068987";"200703";"Resumo";"1";"null";"79664";"Índice de Basileia";"Relação entre o Patrimônio de Referência e os Ativos ponderados pelo risco";"0,191648422154732"
"2";"00071717";"200703";"Resumo";"1";"null";"78182";"Ativo Total";"[10000007] + [20000004]";"2204790,22"
"2";"00071717";"200703";"Resumo";"1";"null";"78183";"Carteira de Crédito Classificada";"[31000000]";"524715,37"
"2";"00071717";"200703";"Resumo";"1";"null";"78184";"Passivo Circulante e Exigível a Longo Prazo e Resultados de Exercícios Futuros";"[40000008] + [50000005]";"1451390,83"
"2";"00071717";"200703";"Resumo";"1";"null";"78185";"Captações";"[41000007] + [42000006] + [43000005] + [46000002]";"31374,9"
"2";"00071717";"200703";"Resumo";"1";"null";"78186";"Patrimônio Líquido";"[60000002] + [70000009]+ [80000006]";"753399,39"
"2";"00071717";"200703";"Resumo";"1";"null";"78187";"Lucro Líquido";"[70000009]+[80000006]-[81955002]";"-216448,45"
"2";"00071717";"200703";"Resumo";"1";"null";"79649";"Patrimônio de Referência para Comparação com o RWA";"Montante de capital regulatório formado pela soma das parcelas de Capital Nível I e Capital Nível II";"753399,39"
"2";"00071717";"200703";"Resumo";"1";"null";"79662";"Índice de Imobilização";"Relação entre Ativo Permanente e Patrimônio de Referência";"0,8776"
"2";"00071717";"200703";"Resumo";"1";"null";"79664";"Índice de Basileia";"Relação entre o Patrimônio de Referência e os Ativos ponderados pelo risco";"0,943623602709854"
"2";"00075847";"200703";"Resumo";"1";"null";"78182";"Ativo Total";"[10000007] + [20000004]";"29694135,11"
"2";"00075847";"200703";"Resumo";"1";"null";"78183";"Carteira de Crédito Classificada";"[31000000]";"17993440,53"
"2";"00075847";"200703";"Resumo";"1";"null";"78184";"Passivo Circulante e Exigível a Longo Prazo e Resultados de Exercícios Futuros";"[40000008] + [50000005]";"23668386,28"
"2";"00075847";"200703";"Resumo";"1";"null";"78185";"Captações";"[41000007] + [42000006] + [43000005] + [46000002]";"22805903,02"
"2";"00075847";"200703";"Resumo";"1";"null";"78186";"Patrimônio Líquido";"[60000002] + [70000009]+ [80000006]";"6025748,83"
"2";"00075847";"200703";"Resumo";"1";"null";"78187";"Lucro Líquido";"[70000009]+[80000006]-[81955002]";"286513,61"
"2";"00075847";"200703";"Resumo";"1";"null";"79649";"Patrimônio de Referência para Comparação com o RWA";"Montante de capital regulatório formado pela soma das parcelas de Capital Nível I e Capital Nível II";"6025748,83"
"2";"00075847";"200703";"Resumo";"1";"null";"79662";"Índice de Imobilização";"Relação entre Ativo Permanente e Patrimônio de Referência";"0,1169"
"2";"00075847";"200703";"Resumo";"1";"null";"79664";"Índice de Basileia";"Relação entre o Patrimônio de Referência e os Ativos ponderados pelo risco";"0,289926523118982"
"2";"00087530";"200703";"Resumo";"1";"null";"78182";"Ativo Total";"[10000007] + [20000004]";"859364,34"
