TipoInstituicao;CodInst;AnoMes;NomeRelatorio;NumeroRelatorio;Grupo;Conta;NomeColuna;DescricaoColuna;Saldo
1;00068389;201909;Resumo;1;;78182;Ativo Total;[10000007] + [20000004];31681692.01
1;00068389;201909;Resumo;1;;78183;Carteira de Crédito Classificada;[31000000];15171237.78
1;00068389;201909;Resumo;1;;78184;Passivo Circulante e Exigível a Longo Prazo e Resultados de Exercícios Futuros;[40000008] + [50000005];22891519.61
1;00068389;201909;Resumo;1;;78185;Captações;[41000007] + [42000006] + [43000005] + [46000002];20861081.17
1;00068389;201909;Resumo;1;;78186;Patrimônio Líquido;[60000002] + [70000009]+ [80000006];8790172.4
1;00068389;201909;Resumo;1;;78187;Lucro Líquido;[70000009]+[80000006]-[81956001];-1424309.17
1;00068389;201909;Resumo;1;;79649;Patrimônio de Referência para Comparação com o RWA;Montante de capital regulatório formado pela soma das parcelas de Capital Nível I e Capital Nível II;8654780.55
1;00068389;201909;Resumo;1;;79662;Índice de Imobilização;Relação entre Ativo Permanente e Patrimônio de Referência;0.0494240665639986
1;00068389;201909;Resumo;1;;79664;Índice de Basileia;Relação entre o Patrimônio de Referência e os Ativos ponderados pelo risco;0.457395030577324
1;00068987;201909;Resumo;1;;78182;Ativo Total;[10000007] + [20000004];230737866.13
1;00068987;201909;Resumo;1;;78183;Carteira de Crédito Classificada;[31000000];148325234.74
1;00068987;201909;Resumo;1;;78184;Passivo Circulante e Exigível a Longo Prazo e Resultados de Exercícios Futuros;[40000008] + [50000005];192171085.23
1;00068987;201909;Resumo;1;;78185;Captações;[41000007] + [42000006] + [43000005] + [46000002];104550313.1
1;00068987;201909;Resumo;1;;78186;Patrimônio Líquido;[60000002] + [70000009]+ [80000006];38566780.9
1;00068987;201909;Resumo;1;;78187;Lucro Líquido;[70000009]+[80000006]-[81956001];-223441.58
1;00068987;201909;Resumo;1;;79649;Patrimônio de Referência para Comparação com o RWA;Montante de capital regulatório formado pela soma das parcelas de Capital Nível I e Capital Nível II;32637657.4
1;00068987;201909;Resumo;1;;79662;Índice de Imobilização;Relação entre Ativo Permanente e Patrimônio de Referência;0.0788334456259106
1;00068987;201909;Resumo;1;;79664;Índice de Basileia;Relação entre o Patrimônio de Referência e os Ativos ponderados pelo risco;0.208502900700437
1;00075847;201909;Resumo;1;;78182;Ativo Total;[10000007] + [20000004];889601276.81
1;00075847;201909;Resumo;1;;78183;Carteira de Crédito Classificada;[31000000];412138559.54
1;00075847;201909;Resumo;1;;78184;Passivo Circulante e Exigível a Longo Prazo e Resultados de Exercícios Futuros;[40000008] + [50000005];745136224.55
1;00075847;201909;Resumo;1;;78185;Captações;[41000007] + [42000006] + [43000005] + [46000002];726649592.92
1;00075847;201909;Resumo;1;;78186;Patrimônio Líquido;[60000002] + [70000009]+ [80000006];144465052.26
1;00075847;201909;Resumo;1;;78187;Lucro Líquido;[70000009]+[80000006]-[81956001];4702010.64
1;00075847;201909;Resumo;1;;79649;Patrimônio de Referência para Comparação com o RWA;Montante de capital regulatório formado pela soma das parcelas de Capital Nível I e Capital Nível II;144372242.96
1;00075847;201909;Resumo;1;;79662;Índice de Imobilização;Relação entre Ativo Permanente e Patrimônio de Referência;0.0322409452438142
1;00075847;201909;Resumo;1;;79664;Índice de Basileia;Relação entre o Patrimônio de Referência e os Ativos ponderados pelo risco;0.269213497305427
1;00106180;201909;Resumo;1;;78182;Ativo Total;[10000007] + [20000004];321027862.73
1;00106180;201909;Resumo;1;;78183;Carteira de Crédito Classificada;[31000000];1653168.09
1;00106180;201909;Resumo;1;;78184;Passivo Circulante e Exigível a Longo Prazo e Resultados de Exercícios Futuros;[40000008] + [50000005];285689184.14
1;00106180;201909;Resumo;1;;78185;Captações;[41000007] + [42000006] + [43000005] + [46000002];0.0
1;00106180;201909;Resumo;1;;78186;Patrimônio Líquido;[60000002] + [70000009]+ [80000006];35338678.59
1;00106180;201909;Resumo;1;;78187;Lucro Líquido;[70000009]+[80000006]-[81956001];-720368.600000002
1;00106180;201909;Resumo;1;;79649;Patrimônio de Referência para Comparação com o RWA;Montante de capital regulatório formado pela soma das parcelas de Capital Nível I e Capital Nível II;27712085.73
